Layer,Expert_ID,Total_Activations,Shapley_Value
0,20,165,11.153410521016866
0,109,158,10.289210233592883
0,76,163,9.355633243286189
0,52,143,8.99283517633973
0,5,126,8.186565319490795
0,121,111,7.5468818010349645
0,94,115,7.473581757508346
0,39,113,7.440284526667066
0,123,85,5.569459893709059
0,90,61,4.063654957120815
0,25,60,3.745103254824201
0,113,103,2.340563589173156
0,35,33,1.0080645161290327
0,36,15,0.7156644637832886
0,108,11,0.572531571026631
0,10,11,0.19153935211459455
0,42,5,0.13904338153503898
0,96,3,0.11230426970137762
0,55,2,0.06840037317449497
0,54,2,0.04634779384501299
0,19,0,0.0
0,15,0,0.0
0,88,143,0.0
0,56,0,0.0
1,40,4554,313.12749319167403
1,92,1930,132.48436960607765
1,70,1758,117.13956367289732
1,127,1740,114.53837597330522
1,13,1622,103.80515387467399
1,119,1506,102.63613611082947
1,114,1563,99.71264367815905
1,113,1446,98.87011452118423
1,90,1451,91.5542732665918
1,94,1322,89.53595980962369
1,116,1353,88.8042269188005
1,6,1448,85.23359288097974
1,18,1318,85.15082896339833
1,99,1304,82.50085565157802
1,66,1193,80.02551143783039
1,28,1125,75.73290498214409
1,80,1023,69.40561977075998
1,91,1084,67.95165925102027
1,67,1106,67.74309417871764
1,98,1008,67.6430937756935
1,3,997,66.04244615228977
1,29,1041,65.21669376229953
1,19,1020,64.07003151650069
1,48,980,63.5208711433752
1,125,950,63.41247219132418
1,107,956,63.2937059695967
1,9,902,60.52442528735667
1,46,876,59.96785221126894
1,34,981,59.60326288468604
1,15,861,58.73724577376749
1,87,872,58.473749982833496
1,75,885,58.298109010011025
1,2,865,57.02382989646577
1,83,879,56.34733036707507
1,14,809,54.27377037287851
1,16,898,54.19602026943459
1,50,793,53.805617352613844
1,76,847,53.20395677737212
1,86,798,50.99184278828347
1,88,769,49.36040044493898
1,23,743,47.62644768697263
1,39,740,46.86630978865369
1,8,705,46.62438551795934
1,60,682,45.51830465222806
